,datePublished,ticker,title,description,date
13,2020-06-29T23:32:50Z,,"'We had a lot of encouraging signs today,' Jim Cramer says - CNBC Television","""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" the ""Mad Money"" host said.",2020-06-29
14,2020-06-29T23:18:00Z,,"Xilinx increases forecast after easing of restrictions on Chinese companies, stock heads higher - MarketWatch",,2020-06-29
15,2020-06-29T23:00:00Z,,Fresh Express bagged salads recalled after more than 200 illnesses reported - NBC News,Fresh Express bagged salads were recalled in at least 30 states after they were linked with illnesses in more than 200 people.,2020-06-29
16,2020-06-29T22:54:44Z,,Financial watchdog lifts restrictions on Wirecard - BBC News,Thousands of people were barred from using their cash cards because of the collapse of Wirecard.,2020-06-29
17,2020-06-29T22:53:03Z,,"Cirque Du Soleil Files For Bankruptcy Protection, Vows To Return “Brighter Than Ever” - Deadline","The world’s largest contemporary circus producer is folding up its tents — for now. Cirque du Soleil said Monday that it has filed for bankruptcy protection, saying, “We have no choice but to take a pause for a little while.” The Montreal-based organization’s…",2020-06-29
18,2020-06-29T22:18:12Z,,"Encore announces plan to furlough approximately 3,000 employees - WCVB Boston",Casinos could be allowed reopen as early as next week in Massachusetts.,2020-06-29
19,2020-06-29T22:06:38Z,,Coronavirus: Costco eliminates half-sheet cakes due to COVID-19 - Deseret News,Costco no longer sells $20 sheet cakes. Here’s why,2020-06-29
20,2020-06-29T15:50:18Z,q=NASDAQ&,"Tesla (TSLA) bear straight up lies about revenues in CNBC segment, still gets away with it - Teslarati","Tesla (NASDAQ:TSLA) is approaching the end of yet another quarter, and like clockwork, the company’s critics and short-sellers are out in full force. Also like clockwork, even those who have been consistently wrong about the electric car maker for years are o…",2020-06-29
21,2020-06-29T12:45:00Z,q=NASDAQ&,Heron Therapeutics Receives Complete Response Letter for HTX-011 for the Management of Postoperative Pain - Yahoo Finance,"Heron Therapeutics, Inc. (Nasdaq: HRTX), a commercial-stage biotechnology company focused on improving the lives of patients by developing best-in-class treatments to address some of the most important unmet patient needs, today announced that it received a C…",2020-06-29
22,2020-06-29T10:00:00Z,q=NASDAQ&,Golden Nugget Online Gaming To Become Public - PRNewswire,"/PRNewswire/ -- Tilman J. Fertitta and Landcadia Holdings II, Inc. (NASDAQ: LCA, ""Landcadia II"") announced today that Landcadia II has entered into a Purchase...",2020-06-29
23,2020-06-30T00:17:22Z,q=Dow Jones&,"Dow Jones Futures: Boeing, Apple, Tesla Lead Coronavirus Stock Market Rally; Lululemon, Micron, In Focus Late - Investor's Business Daily","Dow Jones futures: The coronavirus stock market rally rebounded Monday, led by Boeing, Apple and Tesla. Lululemon and Micron rose late on news.",2020-06-29
24,2020-06-30T04:12:07Z,q=S&P 500&,FDA Approves Breast Cancer Treatment That Health Care Professionals Can Give at Home - The Epoch Times,"The Food and Drug Administration (FDA) approved Phesgo, a breast cancer treatment that can be administered at home by health care professionals, on June 29.",2020-06-29
25,2020-06-30T03:47:03Z,q=S&P 500&,China says its factory activity expanded in June - CNBC,China on Tuesday said manufacturing activity expanded in June with the official Purchasing Manager's Index coming in at 50.9.,2020-06-29
26,2020-06-30T03:32:49Z,q=S&P 500&,"Pa. Licensed Beverage and Tavern Association sends letter to Allegheny County officials following ﻿ban of alcohol consumption at bars, restaurants - WTAE Pittsburgh","On Sunday, county leaders announced they will ban alcohol consumption at bars and restaurants in the county starting at 5 p.m. on Tuesday.",2020-06-29
27,2020-06-30T03:24:56Z,q=S&P 500&,"After losing Grubhub, Uber reportedly hails Postmates - TechCrunch","Uber has reportedly made an offer to buy food delivery service Postmates, according to The New York Times. According to the Times, the talks are still ongoing and the deal could fall through. For those that have been paying attention to Uber, this appetite is…",2020-06-29
28,2020-06-30T02:32:44Z,q=S&P 500&,UPDATE: AT&T to sell landmark CNN Center in downtown Atlanta - Atlanta Journal Constitution,"AT&T to sell CNN Center in downtown Atlanta, move CNN employees to nearby Techwood.",2020-06-29
29,2020-06-30T01:41:00Z,q=S&P 500&,Micron shows how the cloud is saving chip makers - MarketWatch,"Growth in data centers has helped sector stay resilient through pandemic, and Micron sees ‘healthy demand’ for second half",2020-06-29
