,datePublished,ticker,title,description
85,2020-06-16T02:14:29Z,MSFT,"GoFundMe froze $350,000 in contributions after Black Lives Matter supporters mistakenly donated to a group with the same name but a vastly different mission (AAPL, GOOG, GOOGL, MSFT)","<ul>
<li>GoFundMe has frozen $350,000 in donations to a group called Black Lives Matter Foundation after BuzzFeed News informed them the group is unaffiliated with the BLM movement.</li>
<li>The foundation's founder told BuzzFeed News it has a different missi…"
86,2020-06-22T18:46:15Z,MSFT,"Microsoft is shutting down its Twitch competitor and partnering with Facebook going forward — even after spending millions on deals with top streamers like Ninja and Shroud (MSFT, FB)","<ul>
<li>Microsoft is shutting down its Twitch competitor, Mixer, and partnering with Facebook going forward.</li>
<li>""Starting on July 22, all Mixer sites and apps will redirect users to Facebook Gaming,"" the company said in a blog post on June 22. </li>
<l…"
87,2020-06-18T21:51:45Z,MSFT,"Microsoft took a subtle dig at Apple's controversial App Store rules as the iPhone maker is getting hit with 2 antitrust probes (MSFT, AAPL)","<ul>
<li>Microsoft's Brad Smith said it's time for regulators to have a ""more focused"" discussion about how app stores are governed and whether they violate antitrust rules.</li>
<li>When speaking with Politico, Smith said app stores have created ""higher wall…"
88,2020-06-04T13:00:00Z,MSFT,The exec behind Microsoft's flagship database software says it's surpassed longtime leader Oracle thanks to a 'laser' focus on customers and building tools 'you didn't need to be a rocket scientist' to use (MSFT),"<ul>
<li>Microsoft's flagship database software used to be a runner-up to Oracle, but has gained favor among iT buyers in recent years.</li>
<li> Rohan Kumar, the Microsoft executive in charge of SQL Server, said that's because the company made changes to the…"
89,2020-06-26T18:24:31Z,MSFT,Here’s what $10K invested at the height of the dot com boom would be worth today,"20 years have passed since the dot com crash. In the five years leading up to the new millennium, feverous markets thirsty for internet stocks drove the Nasdaq Composite stock index up 400% in just five years, growth that proved unsustainable after Y2K. Casua…"
90,2020-06-23T14:51:35Z,MSFT,Key Words: Tech-backed group blasts Trump’s order on work visas as ‘full-frontal attack on American innovation and our nation’s ability to benefit from attracting talent’,Business groups are reacting to the Trump administration’s order targeting work visas.
91,2020-06-11T21:12:54Z,MSFT,"This is the PlayStation 5, coming in holiday 2020 (MSFT)","<ul>
<li>The PlayStation 5 finally got its grand reveal on June 11.</li>
<li>The new console is primarily white — a departure from the long history of black PlayStation consoles.</li>
<li>Sony says the new console will arrive this holiday. The Japanese electr…"
92,2020-06-15T23:50:06Z,MSFT,Tim Cook and other tech CEOs praise Supreme Court ruling protecting LGBTQ workers,The CEOs of some of America’s biggest tech companies praised the U.S. Supreme Court’s ruling Monday protecting LGBTQ workers from job discrimination.
93,2020-06-11T16:39:40Z,MSFT,"In One Chart: Beware of these widely held stocks when the market crisis ‘gradually, then suddenly’ emerges, fund manager warns","“In the face of a breathtaking disconnect between Main Street and Wall Street, largely based on overconfidence in free money, my sense is that there remains a crisis ahead that will emerge ‘gradually and then suddenly,’"
94,2020-06-29T08:13:11Z,MSFT,"No, THIS is how much $10K worth of dot-com bubble stock is worth today","Last week, Hard Fork published an article: Here’s what $10,000 invested at the height of the dot-com bubble would be worth today. The idea was to build what would’ve been a typical stock portfolio in the lead up to Y2K and calculate its worth today, 20 years …"
95,2020-06-16T17:41:04Z,MSFT,"Microsoft employees would rather work from physical offices than work remotely, CEO Satya Nadella says (MSFT)","<ul>
<li>Microsoft employees would rather work from dedicated workspaces in physical offices with good network connectivity than work from home, CEO Satya Nadella said Tuesday at a conference for computer vision researchers. </li>
<li>Companies should always …"
